EventType,Date,StartTime,EndTime,Duration,Borough,Category,ZipCode(s)
Shooting Permit,11/22/2022,8:00:00,23:00:00,15:00:00,Manhattan,Cable-episodic Television,"10001, 10018, 10024"
Shooting Permit,11/22/2022,6:00:00,21:00:00,15:00:00,Brooklyn,Episodic Television series,11222
Shooting Permit,12/1/2022,9:00:00,23:00:00,14:00:00,Manhattan,Feature Film,10002
Shooting Permit,11/23/2022,7:00:00,21:00:00,14:00:00,Brooklyn,Episodic Television series,11206
Shooting Permit,11/30/2022,8:00:00,22:00:00,14:00:00,Manhattan,Feature Film,10002
Shooting Permit,11/22/2022,8:00:00,2:00:00,18:00:00,Queens,Episodic Television series,"11374, 11385"
Shooting Permit,11/28/2022,6:00:00,22:00:00,16:00:00,Manhattan,Episodic Television series,"10011, 10014"
Theater Load in and Load Outs,11/29/2022,8:00:00,18:00:00,10:00:00,Brooklyn,Theater,11217
Theater Load in and Load Outs,11/23/2022,8:00:00,18:00:00,10:00:00,Brooklyn,Theater,11217
Shooting Permit,11/22/2022,8:00:00,18:00:00,10:00:00,Manhattan,Still Photography,10027
Shooting Permit,11/23/2022,7:00:00,21:00:00,14:00:00,Bronx,Episodic Television series,10473
Shooting Permit,11/21/2022,7:00:00,19:00:00,12:00:00,Manhattan,Episodic Television series,"10018, 10036"
Theater Load in and Load Outs,12/7/2022,0:01:00,23:59:00,23:58:00,Manhattan,Theater,"10003, 10029"
Theater Load in and Load Outs,12/6/2022,0:01:00,23:59:00,23:58:00,Manhattan,Theater,"10003, 10029"
Theater Load in and Load Outs,12/5/2022,0:01:00,23:59:00,23:58:00,Manhattan,Theater,"10003, 10029"
Shooting Permit,11/21/2022,7:00:00,22:00:00,15:00:00,Manhattan,Cable-episodic Television,"10028, 10128"
Shooting Permit,11/21/2022,6:00:00,23:00:00,17:00:00,Brooklyn,Episodic Television series,11222
Shooting Permit,11/23/2022,7:00:00,23:00:00,16:00:00,Brooklyn,Cable-episodic Television,11222
Theater Load in and Load Outs,12/1/2022,0:01:00,23:59:00,23:58:00,Brooklyn,Theater,11222
Theater Load in and Load Outs,11/21/2022,0:01:00,23:59:00,23:58:00,Brooklyn,Theater,11222
Shooting Permit,11/28/2022,8:00:00,22:00:00,14:00:00,Queens,Episodic Television series,"11237, 11385"
Theater Load in and Load Outs,11/27/2022,0:01:00,6:00:00,5:59:00,Manhattan,Theater,10023
Shooting Permit,11/30/2022,6:00:00,22:00:00,16:00:00,Staten Island,Episodic Television series,10305
Shooting Permit,11/21/2022,6:00:00,21:00:00,15:00:00,Manhattan,Episodic Television series,"10003, 10009"
Theater Load in and Load Outs,12/6/2022,0:01:00,23:59:00,23:58:00,Manhattan,Theater,10019
Theater Load in and Load Outs,12/3/2022,0:01:00,6:00:00,5:59:00,Manhattan,Theater,10019
Theater Load in and Load Outs,12/1/2022,0:01:00,23:59:00,23:58:00,Manhattan,Theater,10019
